Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-29.965274251907225,88.5165745330484,2
40.8,-29.53824819303198,85.97275781689132,2
41.616,-29.161943549633712,88.05612719063654,2
42.44832,-29.445755730345166,88.3284198452115,2
43.297286400000004,-28.956332632958034,87.50073503255186,2
44.163232128000004,-28.969897395930545,89.0739005096925,2
45.046496770560005,-28.683974158558083,88.90915389183667,2
45.9474267059712,-29.195098705342826,85.7174428866311,2
46.866375240090626,-28.734004861790346,90.2309903394144,2
47.80370274489244,-28.233769585258763,88.00762248489491,2
48.75977679979029,-28.02849382536763,86.68059244644701,2
49.7349723357861,-27.837707013426897,87.86320154838174,2
50.72967178250182,-27.719579022445007,87.09773396271743,2
51.74426521815185,-27.644235256179922,89.23438311103203,2
52.77915052251489,-27.351473362939416,87.94273857837032,2
53.83473353296519,-27.422675785083303,87.32627356326157,2
54.911428203624496,-26.37867768673771,87.82013124920732,2
56.00965676769699,-26.904700344473646,85.63471573953802,2
57.12984990305093,-26.668508636652117,87.56197929423138,2
58.27244690111195,-26.46169857614222,85.95319371520807,2
59.437895839134185,-26.153316154222022,87.083271817279,2
60.62665375591687,-26.31987019659876,86.43082174860437,2
61.83918683103521,-25.572161204404185,85.67566631223332,2
63.075970567655915,-25.74681054010945,85.5126144472565,2
64.33748997900904,-25.367829378539238,87.94686095193273,2
65.62423977858921,-25.424325058665627,87.26834319252947,2
66.936724574161,-25.20509339822092,86.66807216403646,2
68.27545906564423,-25.32854559156883,88.50193053767521,2
69.64096824695712,-24.92471995685193,86.45689844983602,2
71.03378761189626,-24.902709669799496,86.60479477949329,2
72.45446336413418,-24.442621031895516,87.4041520118347,2
73.90355263141687,-24.295802578476895,85.89214368441212,2
75.38162368404521,-24.23842054974712,86.26295352616343,2
76.88925615772611,-24.129180244757105,87.07684089352881,2
78.42704128088063,-23.99184962069356,86.33144891804376,2
79.99558210649825,-23.817051933089328,86.12927836945428,2
81.59549374862821,-23.525237154311267,86.48334721604016,1
83.22740362360078,-23.45565767519669,86.01784457394764,1
84.8919516960728,-23.120929942845756,86.03406069363326,1
86.58979072999425,-23.027729466179014,86.98730723842431,2
88.32158654459414,-23.01763216585856,85.7152472997235,2
90.08801827548602,-22.701221481309677,86.14022740065275,1
91.88977864099574,-22.292665047280558,85.28837548136255,1
93.72757421381566,-22.215332154934487,86.83912933189573,1
95.60212569809197,-22.371774913575514,85.48763770434655,1
97.5141682120538,-22.01620897628341,85.55836716882023,1
99.46445157629488,-21.67034561512247,85.89062785417471,1
101.45374060782078,-21.8136823516792,85.83271765970619,1
103.4828154199772,-21.432092217536724,86.57049096751746,1
105.55247172837674,-21.25328961872236,85.72838680261316,1
107.66352116294428,-21.21788600341012,85.28144369428284,1
109.81679158620317,-20.760686982832933,84.46822264551975,1
112.01312741792724,-21.013302875690023,85.17976781909954,1
114.25338996628578,-20.519264137868678,84.86862880878942,1
116.5384577656115,-20.61483908461973,84.67277195474679,1
118.86922692092372,-20.389890542471825,84.81425468270962,1
121.2466114593422,-20.17490410410035,84.17551228306674,1
123.67154368852906,-19.935677441583238,84.52294490138115,1
126.14497456229964,-19.893343438164386,84.34732083527449,1
128.66787405354563,-19.557047001550764,83.33790645634117,1
131.24123153461656,-19.528580113856783,84.3904905998512,1
133.8660561653089,-19.117977820874447,84.12643438793646,1
136.54337728861506,-19.31141587398093,83.72075511428523,1
139.27424483438736,-18.867048202962266,83.79983896518097,1
142.05972973107512,-18.92942853185015,83.27924944726537,1
144.90092432569662,-18.58175123370517,83.48423932955723,1
147.79894281221056,-18.511661897899387,82.89303178371381,1
150.75492166845476,-18.287404267234987,82.73775681014116,1
153.77002010182386,-17.983143119142138,83.21655725662083,1
156.84542050386034,-18.051750974198423,82.20599943814196,1
