Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.2373714187277,-92.2886769795399,2
40.8,-24.99184789484136,-93.45911382038193,2
41.616,-25.003785191083573,-92.1709781920467,2
42.44832,-24.664640042501727,-92.58326027525794,2
43.297286400000004,-24.636550914567902,-92.55028460528379,1
44.163232128000004,-24.535179145048822,-92.57136294512912,2
45.046496770560005,-24.28087304390846,-93.72971807370294,2
45.9474267059712,-23.982282211230743,-91.42528169226557,1
46.866375240090626,-24.09367876418925,-91.71558627516794,1
47.80370274489244,-23.675908228459882,-91.53141817282595,1
48.75977679979029,-23.53505829105377,-92.3940349058052,1
49.7349723357861,-22.88837789489346,-93.0423242161196,1
50.72967178250182,-23.178924209386103,-92.26755413344529,1
51.74426521815185,-23.04762479921138,-91.76408071203616,1
52.77915052251489,-22.666388317572256,-93.29602098802305,1
53.83473353296519,-22.86791751195121,-91.05388689174481,1
54.911428203624496,-22.36411897560323,-91.88688635670077,1
56.00965676769699,-22.60603100380155,-91.49071871482312,1
57.12984990305093,-22.27256014686918,-91.30754662908701,1
58.27244690111195,-22.08009539591661,-91.24827933321376,1
59.437895839134185,-21.211946342941314,-91.49894429880413,1
60.62665375591687,-21.55651186897767,-92.436580810208,1
61.83918683103521,-21.466375886154438,-91.83937212013639,1
63.075970567655915,-21.412025210322025,-91.13344771808444,1
64.33748997900904,-20.979360725336747,-92.08731593122202,1
65.62423977858921,-20.977119236672262,-92.46964996172898,1
66.936724574161,-20.696471300432332,-91.8973964347125,1
68.27545906564423,-20.68016122408273,-91.79668173604989,1
69.64096824695712,-20.17527820377371,-92.74924813182517,1
71.03378761189626,-20.372961078709956,-92.0736866649288,1
72.45446336413418,-19.984431167499814,-91.88944419301835,1
73.90355263141687,-19.84825895630398,-92.71275478570621,1
75.38162368404521,-19.753654338093188,-92.4750686572936,1
76.88925615772611,-19.542820626364986,-92.21866091806808,1
78.42704128088063,-19.508618376181676,-92.78896689471274,1
79.99558210649825,-19.10792655136361,-92.42643217711044,1
81.59549374862821,-19.143323786811347,-92.98513138807395,1
83.22740362360078,-18.97592722450563,-93.28031255597809,1
84.8919516960728,-18.791263108128103,-92.93444620889487,1
86.58979072999425,-18.52536472733981,-92.26426079910584,1
88.32158654459414,-18.446733557509216,-93.19510015453477,1
90.08801827548602,-18.26068282273138,-92.81046003481015,1
91.88977864099574,-18.033401619591988,-93.1505199718263,1
93.72757421381566,-17.94398464601441,-92.78513403419014,1
95.60212569809197,-17.77944839948293,-92.48007263005752,1
97.5141682120538,-17.441142194575054,-92.45545148483244,1
99.46445157629488,-17.314168551572205,-93.32981022454616,1
101.45374060782078,-17.121170240591567,-93.08994170801881,1
103.4828154199772,-17.08587264475042,-93.69474405599556,1
105.55247172837674,-16.859549685253178,-93.06382704102397,1
107.66352116294428,-16.723345975265563,-93.91406911150838,1
109.81679158620317,-16.47745498678809,-93.3490620645818,1
112.01312741792724,-16.387130681827227,-93.23386431183906,1
114.25338996628578,-16.036555404070025,-93.74203791739926,1
116.5384577656115,-16.05698658026099,-93.88920212922557,1
118.86922692092372,-15.791674752643386,-93.50393925256023,1
121.2466114593422,-15.735902784383176,-93.74079637271001,1
123.67154368852906,-15.491190324970342,-93.92918501140201,1
126.14497456229964,-15.30848328495617,-94.02955568149982,1
128.66787405354563,-15.198718074756759,-93.82006247615271,1
131.24123153461656,-14.977548377862107,-93.9467663728671,1
133.8660561653089,-14.685884612329685,-93.96848954571153,1
136.54337728861506,-14.722086880656937,-94.381441721312,1
139.27424483438736,-14.37730586484527,-94.33053026519718,1
142.05972973107512,-14.347512515902434,-94.77002585683647,1
144.90092432569662,-14.021329873085687,-94.50393611025268,1
147.79894281221056,-13.968598192448368,-94.47649939629405,1
150.75492166845476,-13.835723027769987,-94.65255843433113,1
153.77002010182386,-13.554779830260008,-94.7422747430707,1
156.84542050386034,-13.49701863203441,-94.78928614849931,1
159.98232891393755,-13.243473031235002,-95.01056992389235,1
163.1819754922163,-13.02211234500201,-94.99985642673626,1
166.44561500206063,-12.983069641103556,-95.29127370728341,1
169.77452730210186,-12.735182117154833,-95.23460467687818,1
173.17001784814389,-12.504933459103643,-95.39329897448194,1
176.63341820510678,-12.485425621826495,-95.53780231809495,1
180.16608656920891,-12.251757461428602,-95.31343828830903,1
183.76940830059308,-11.999988368109468,-95.69444486607078,1
187.44479646660494,-11.8762741242608,-95.65314221757563,1
191.19369239593703,-11.808726105235063,-95.84845244707992,1
195.01756624385578,-11.656609418188443,-95.96109081421851,1
198.9179175687329,-11.315844460945607,-96.18312656711589,1
202.89627592010754,-11.197383651087605,-96.14175773999658,1
206.9542014385097,-11.096469099367123,-96.40284031794783,1
