Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.107619476043656,-91.29867416429977,2
40.8,-24.758276823529428,-91.29259068517456,2
41.616,-24.526570382826005,-92.12964167280566,2
42.44832,-24.539134974632937,-91.91940446837748,2
43.297286400000004,-24.40024752491054,-91.00350046908935,2
44.163232128000004,-24.290499291070923,-92.26558888638272,2
45.046496770560005,-23.964693747832932,-90.8618155402132,2
45.9474267059712,-23.595314379705364,-91.56637927810596,2
46.866375240090626,-23.426875989180516,-90.8812468521889,1
47.80370274489244,-23.302900537168085,-92.06008895333352,1
48.75977679979029,-23.125650304267456,-90.9890542260225,2
49.7349723357861,-22.923222198731843,-91.82575615732785,1
50.72967178250182,-23.141676173117183,-93.56836523700531,2
51.74426521815185,-22.854697567785497,-91.16453126501938,2
52.77915052251489,-22.729101643833577,-92.2698485672562,2
53.83473353296519,-22.747655768989787,-91.50651565576412,1
54.911428203624496,-22.6090077799024,-91.62027258232004,1
56.00965676769699,-22.373247445304184,-93.08180807402636,1
57.12984990305093,-22.167155916087857,-92.08426424904809,1
58.27244690111195,-22.022592294345458,-92.60422155581992,1
59.437895839134185,-21.762355982553018,-91.99764135003373,1
60.62665375591687,-21.810860640684616,-92.76773941025874,1
61.83918683103521,-21.41653698796407,-92.44464338026025,1
63.075970567655915,-21.438256255046472,-93.10813411826211,1
64.33748997900904,-21.361042904461307,-92.15518388976423,1
65.62423977858921,-21.152502748616698,-93.1051215118132,1
66.936724574161,-20.941527813826248,-91.65398765091206,1
68.27545906564423,-20.96109332824688,-92.68321334613593,1
69.64096824695712,-20.621680555529682,-92.63228887427117,1
71.03378761189626,-20.7635686782834,-93.62704709819411,1
72.45446336413418,-20.4565767016149,-91.98226423597475,1
73.90355263141687,-20.298395195071784,-92.28409080499937,1
75.38162368404521,-20.091467909438588,-93.08675520637331,1
76.88925615772611,-19.73155547228997,-93.166916957799,1
78.42704128088063,-19.711250696139057,-93.25193740027362,1
79.99558210649825,-19.304061354788686,-93.05989351840377,1
81.59549374862821,-19.35927886540322,-94.0825671031008,1
83.22740362360078,-19.291573977858313,-93.2634588556121,1
84.8919516960728,-18.96366376901005,-92.80768056271923,1
86.58979072999425,-18.830182833587486,-93.5755240266904,1
88.32158654459414,-18.709325954132538,-93.86126899923296,1
90.08801827548602,-18.633816502135982,-93.89809920044571,1
91.88977864099574,-18.3375589470484,-93.59264658840951,1
93.72757421381566,-18.27980011386683,-93.2545680624163,1
