Frequency [Hz],Magnitude [dB],Phase [deg],Quality
40.0,-25.175079768764974,-92.17745371736356,1
40.8,-25.296206927982666,-91.93353383607466,1
41.616,-24.939399452378854,-92.64592017650301,1
42.44832,-25.13963799261071,-89.3875964080463,1
43.297286400000004,-24.73460791516475,-91.8992516449232,1
44.163232128000004,-24.825640021846617,-91.4260644802082,1
45.046496770560005,-24.35209398996852,-91.50342005051479,1
45.9474267059712,-24.158251052455324,-90.7709887203747,1
46.866375240090626,-23.96598059292755,-90.15907272809582,1
47.80370274489244,-23.846980045130863,-91.9923732435869,1
48.75977679979029,-23.827115968024156,-90.28535838420875,1
49.7349723357861,-23.51650444303611,-92.94138732333953,1
50.72967178250182,-23.340803545308457,-92.35791451398046,1
51.74426521815185,-23.231701743996332,-91.52475367172161,1
52.77915052251489,-22.90802661199549,-91.05702568298744,1
53.83473353296519,-22.669954884912183,-91.61316507189582,1
54.911428203624496,-22.463212034819264,-90.5520530063781,1
56.00965676769699,-22.685401694030435,-90.75688023216719,1
57.12984990305093,-22.06474592564187,-91.94923586645203,1
58.27244690111195,-22.26545479633463,-92.14857884479784,1
59.437895839134185,-21.9447123472181,-91.74331402777958,1
60.62665375591687,-21.77558059453898,-92.55625798789902,1
61.83918683103521,-21.406231250980017,-92.45358843116222,1
63.075970567655915,-21.37245691299679,-91.47286883418994,1
64.33748997900904,-21.167624408499062,-92.16905791018365,1
65.62423977858921,-21.111687830015953,-91.91887957341157,1
66.936724574161,-20.828724691504583,-91.84900983088247,1
68.27545906564423,-20.777907163215932,-92.70846352741034,1
69.64096824695712,-20.53199680775304,-93.78697520744078,1
71.03378761189626,-20.47430344432437,-91.9023586438941,1
72.45446336413418,-19.97368777914676,-92.22698519789769,1
73.90355263141687,-20.008017330708167,-92.33802050969274,1
75.38162368404521,-19.91155752650515,-92.38558254893104,1
76.88925615772611,-19.68891170207488,-93.1111619778154,1
78.42704128088063,-19.616156364521057,-92.2452460752585,1
79.99558210649825,-19.321852575890507,-92.4339368473412,1
81.59549374862821,-18.99628772654801,-93.64501578255306,1
83.22740362360078,-19.081176808819684,-92.6498078246278,1
84.8919516960728,-18.851501603554006,-92.65853261965854,1
86.58979072999425,-18.621028417507596,-92.39944539411678,1
88.32158654459414,-18.586430822838697,-92.81653242343052,1
90.08801827548602,-18.375302091074285,-93.43500770605387,1
91.88977864099574,-18.131162641286995,-93.30160108842904,1
93.72757421381566,-17.747826893849115,-94.96952580647,1
95.60212569809197,-17.895098461109203,-92.54663101224997,1
97.5141682120538,-17.60818512686897,-92.97748806055432,1
99.46445157629488,-17.45293096579394,-92.94587876652542,1
101.45374060782078,-17.19691200192524,-93.35487467293441,1
103.4828154199772,-17.15161344656677,-93.59338017196148,1
105.55247172837674,-17.025184005747736,-92.99343107599324,1
107.66352116294428,-16.925830541725965,-93.47546299916553,1
109.81679158620317,-16.49734143309864,-93.48737973364966,1
112.01312741792724,-16.5764869747969,-93.6938643714164,1
114.25338996628578,-16.19629234462128,-92.93221946323092,1
116.5384577656115,-16.15699870690057,-94.44925627395334,1
118.86922692092372,-15.824593617933113,-94.17471758780127,1
121.2466114593422,-15.847697183338687,-93.77134636295699,1
123.67154368852906,-15.474077214201806,-94.15128718836517,1
126.14497456229964,-15.496283161418535,-94.13763744856051,1
128.66787405354563,-15.228456975170106,-94.11735259643828,1
131.24123153461656,-15.133111479101519,-94.34593458334899,1
133.8660561653089,-14.847359463447415,-93.91806115175197,1
136.54337728861506,-14.815082085495707,-94.27248580982558,1
139.27424483438736,-14.472583549996912,-94.52005738267441,1
142.05972973107512,-14.527485299022844,-94.55715277508233,1
144.90092432569662,-14.177147286711275,-94.91276837721074,1
147.79894281221056,-14.080944750107863,-94.4225726850811,1
150.75492166845476,-13.920007097399793,-94.86699739578495,1
153.77002010182386,-13.625797338393143,-94.87126078082105,1
156.84542050386034,-13.6411747652484,-95.44632748635152,1
159.98232891393755,-13.344355716938098,-95.2066086057874,1
163.1819754922163,-13.16584149422812,-95.58712947928998,1
166.44561500206063,-13.125291069047696,-95.40487519289393,1
169.77452730210186,-12.804133833471859,-95.21377224927794,1
173.17001784814389,-12.648361574050973,-95.76004331550003,1
176.63341820510678,-12.61971710292283,-95.78746984823235,1
180.16608656920891,-12.388400959724281,-96.08041892921011,1
183.76940830059308,-12.134091513564016,-95.72710185178678,1
187.44479646660494,-12.042849569693331,-96.09088529256798,1
191.19369239593703,-11.920652860481772,-96.21989427410432,1
195.01756624385578,-11.571360257186932,-96.24931367271694,1
198.9179175687329,-11.478833131214078,-96.15848336961515,1
202.89627592010754,-11.347175319970367,-96.33354533925815,1
206.9542014385097,-11.1621458793399,-96.73155133125354,1
211.09328546727988,-11.133700382281367,-96.84126977236383,1
215.31515117662548,-10.976668980785723,-96.82787375369213,1
219.62145420015798,-10.575006420811848,-96.88003540866865,1
224.01388328416115,-10.613075097478264,-97.38690644707873,1
228.49416094984437,-10.258946869789954,-97.08141867401275,1
233.06404416884126,-10.26882362802687,-97.43550473380466,1
237.7253250522181,-9.940682340247287,-97.54543919657934,1
242.47983155326247,-9.906780000700227,-97.58735011843788,1
247.32942818432772,-9.618247544010964,-98.00496291888687,1
252.27601674801429,-9.532392364687343,-98.07778359014411,1
257.3215370829746,-9.28811300130383,-98.1167498604045,1
262.4679678246341,-9.243414035932473,-98.37332671734669,1
267.7173271811268,-8.938168527008761,-98.22861750442918,1
273.07167372474936,-8.893341814306087,-98.89280776664079,1
278.53310719924434,-8.61220438332355,-98.76262174920552,1
284.10376934322926,-8.57190897048012,-99.2927861489971,1
289.78584473009386,-8.264175111562002,-99.03418706346295,1
295.5815616246957,-8.19783418476159,-99.24358604341063,1
301.4931928571896,-8.007058036960215,-99.60761501996626,1
307.52305671433345,-7.765094627754717,-99.56290421579044,1
313.6735178486201,-7.7728234473348365,-99.90769102777627,1
319.9469882055925,-7.461571444271916,-100.09000494536838,1
326.34592796970435,-7.286074980741807,-100.19473492158554,1
332.87284652909847,-7.265513741802808,-100.64794691257705,1
339.53030345968045,-6.977250987879639,-100.72907805471279,1
346.3209095288741,-6.803737268445116,-100.83142744179058,1
353.24732771945156,-6.747660413988712,-100.87930326406737,1
360.3122742738406,-6.519067166062603,-101.34965844526093,1
367.5185197593174,-6.269288120210199,-101.45335036476598,1
374.8688901545038,-6.207526867335932,-101.72170949010587,1
382.3662679575939,-6.117059367442066,-101.85997365933952,1
390.01359331674576,-5.898176992459403,-101.92217982112459,1
397.8138651830807,-5.639680692518278,-102.33976427395424,1
405.7701424867423,-5.4891791399657635,-102.5701316946598,1
413.88554533647715,-5.413929309846505,-102.76817873138334,1
422.1632562432067,-5.290564109215231,-103.15268547014836,1
430.60652136807084,-5.1057484315729615,-103.15163523558425,1
439.21865179543227,-4.9110749035508645,-103.3657413860999,1
448.0030248313409,-4.711178467114653,-103.62896414783671,1
456.96308532796775,-4.543527891934551,-103.91935879001169,1
466.1023470345271,-4.372298065875611,-104.16585390835911,1
475.42439397521764,-4.207579036723988,-104.10424022952377,1
484.932881854722,-4.04660066409224,-104.61037685773947,1
494.63153949181645,-3.913553540508869,-104.7969899160453,1
504.5241702816528,-3.7560884879987206,-105.19357137627175,1
514.6146536872859,-3.708933615815524,-105.59660932996445,1
524.9069467610317,-3.3606771086195275,-105.30308049193252,1
535.4050856962523,-3.437971337272413,-106.19427988624213,1
546.1131874101774,-3.0541944896783826,-106.05967925738736,1
557.035451158381,-3.058355128151295,-106.62039575804249,1
568.1761601815485,-2.835411537320324,-106.84829365055747,1
579.5396833851795,-2.697618822087076,-107.0527389252226,1
591.1304770528831,-2.5481285772609668,-107.3467438045847,1
602.9530865939407,-2.34789138391503,-107.64594262834729,1
615.0121483258196,-2.2428715424238104,-108.10579662243086,1
627.312391292336,-2.0503161162355505,-108.23062423922295,1
639.8586391181827,-1.9500182230059868,-108.57310051962332,1
652.6558119005464,-1.7688196654587476,-108.80697378257213,1
665.7089281385573,-1.5901141409785853,-109.27318120979936,1
679.0231067013285,-1.4882202640465163,-109.62274453257119,1
692.6035688353551,-1.2577367060391942,-109.5692828379804,1
706.4556402120622,-1.2119949959732816,-110.32397226265948,1
720.5847530163035,-0.9137795967930405,-110.28595430616163,1
734.9964480766296,-0.9037435416814984,-110.93439957369915,1
749.6963770381622,-0.654823905508334,-111.15427619180254,1
764.6903045789254,-0.5148804667297978,-111.36627892539192,1
779.9841106705039,-0.43436481465020155,-111.84824754723559,1
795.583792883914,-0.1662943078145013,-112.03280677881827,1
811.4954687415924,-0.12386859121466505,-112.54959382002846,1
827.7253781164243,0.027775460868783644,-112.83903549491946,1
844.2798856787527,0.28008909433036266,-112.89498080141763,1
861.1654833923278,0.3314160195738392,-113.53263389059029,1
878.3887930601744,0.4718600158255416,-113.90094610146689,1
895.9565689213779,0.7023860280215383,-114.10262373001282,1
913.8757002998054,0.829948525263823,-114.5648480066184,1
932.1532143058016,0.8903613890606641,-115.03311634269673,1
950.7962785919177,1.0717639503222365,-115.33796114091777,1
969.8122041637561,1.2938073801947916,-115.5039492961821,1
